College Name,Branch,Parent Branch,STATE,Campus,CLOSING,proximity,Placement ,priority_Placment,Coding_Culture,Priority_CC,Cultural_Activity,Priority_CA,Higher Education,priority_Higher_Edu,Brand_Value,Priority_BV,Entrepreneurship_Culture,Priority_ECell,Total,CLOSING
IIT BHILAI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Chhattisgarh,75,5791,,44,,150,,60,,70,,70,,70,,,5791
IIT BHILAI,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Chhattisgarh,75,10745,,35,,150,,60,,70,,70,,70,,,10745
IIT BHILAI,METALLURGICAL & MATERIALS ENGINEERING,MECHANICAL ENGINEERING,Chhattisgarh,75,16674,,35,,150,,60,,70,,70,,70,,,16674
IIT BHILAI,MECHATRONICS,ELECTRICAL ENGINEERING,Chhattisgarh,75,11894,,35,,150,,60,,70,,70,,70,,,11894
IIT BHILAI,DATA SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Chhattisgarh,75,7009,,44,,150,,60,,70,,70,,70,,,7009
IIT BHILAI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Chhattisgarh,75,14404,,25,,150,,60,,70,,70,,70,,,14404
IIT BHU,CERAMIC (DUAL),COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,14254,,82,,160,,75,,85,,85,,85,,,13254
IIT BHU ,BIOCHEMICAL ENGG. (DUAL),BIOTECHNOLOGY ,Uttar Pradesh,80,14830,,40,,160,,75,,85,,85,,85,,,14830
IIT BHU,PHARMACEUTICAL (DUAL),BIOTECHNOLOGY ,Uttar Pradesh,80,15585,,40,,160,,75,,85,,85,,85,,,14830
IIT BHU,COMPUTER SCIENCE AND ENGINEERING (DUAL),COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,1366,,82,,160,,75,,85,,85,,85,,,1079
IIT BHU,MATHEMATICS AND COMPUTING (DUAL),COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,2034,,76,,160,,75,,85,,85,,85,,,2034
IIT BHU,ELECTRICAL ENGINEERING (DUAL),ELECTRICAL ENGINEERING,Uttar Pradesh,80,4628,,68,,160,,75,,85,,85,,85,,,3534
IIT BHU,INDUSTRIAL CHEMISTRY(DUAL),MECHANICAL ENGINEERING,Uttar Pradesh,80,14443,,56,,160,,75,,85,,85,,85,,,8999
IIT BHU,CIVIL ENGINEERING (DUAL),CIVIL ENGINEERING,Uttar Pradesh,80,11332,,49,,160,,75,,85,,85,,85,,,11332
IIT BHU,MECHANICAL ENGINEERING (DUAL),MECHANICAL ENGINEERING,Uttar Pradesh,80,6694,,49,,160,,75,,85,,85,,85,,,6694
IIT BHU,ENGINEERING PHYSICS (DUAL),BASIC SCIENCES,Uttar Pradesh,80,9612,,48,,160,,75,,85,,85,,85,,,9612
IIT BHU,MINING ENGINEERING (DUAL),METALLURGICAL ENGINEERING,Uttar Pradesh,80,14656,,46,,160,,75,,85,,85,,85,,,13556
IIT BHU,METALLURGICAL & MATERIALS ENGINEERING (DUAL),METALLURGICAL ENGINEERING,Uttar Pradesh,80,13072,,45,,160,,75,,85,,85,,85,,,13072
IIT BHU,BIOTECHNOLOGY (DUAL),BIOTECHNOLOGY ,Uttar Pradesh,80,14830,,40,,160,,75,,85,,85,,85,,,14830
IIT BHU,CERAMIC,COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,13254,,82,,160,,75,,85,,85,,85,,,13254
IIT BHU,ELECTRONICS & COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,Uttar Pradesh,80,2876,,74,,160,,75,,85,,85,,85,,,2876
IIT BHU,PHARMACEUTICAL,BIOTECHNOLOGY ,Uttar Pradesh,80,14830,,40,,160,,75,,85,,85,,85,,,14830
IIT BHU,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,1079,,82,,160,,75,,85,,85,,85,,,1079
IIT BHU,MATHEMATICS AND COMPUTING ,COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,2034,,76,,160,,75,,85,,85,,85,,,2034
IIT BHU,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Uttar Pradesh,80,3534,,68,,160,,75,,85,,85,,85,,,3534
IIT BHU,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,80,8999,,56,,160,,75,,85,,85,,85,,,8999
IIT BHU,CIVIL ENGINEERING,CIVIL ENGINEERING,Uttar Pradesh,80,10232,,49,,160,,75,,85,,85,,85,,,11332
IIT BHU,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,80,6694,,49,,160,,75,,85,,85,,85,,,6694
IIT BHU,ENGINEERING PHYSICS,BASIC SCIENCES,Uttar Pradesh,80,9612,,48,,160,,75,,85,,85,,85,,,9612
IIT BHU,MINING ENGINEERING,METALLURGICAL ENGINEERING,Odisha,80,13556,,46,,160,,75,,85,,85,,85,,,13556
IIT BHU,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Uttar Pradesh,80,13072,,45,,160,,75,,85,,85,,85,,,13072
IIT BHU,BIOTECHNOLOGY,BIOTECHNOLOGY ,Uttar Pradesh,80,14830,,40,,160,,75,,85,,85,,85,,,14830
IIT BHUBANESHWAR,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Odisha,75,3101,,58,,70,,60,,70,,70,,70,,,3101
IIT BHUBANESHWAR,ELECTRONICS & COMMUNICATION ENGG.,ELECTRONICS & ELECTRICAL COMMUNICATION ENGG.,Odisha,75,5190,,48,,70,,60,,70,,70,,70,,,5190
