College Name,Branch,Parent Branch,STATE,Campus,priority_campus,proximity,Placement ,priority_Placment,Coding_Culture,Priority_CC,Cultural_Activity,Priority_CA,Higher Education,priority_Higher_Edu,Brand_Value,Priority_BV,Entrepreneurship_Culture,Priority_ECell,Total,CLOSING
IIT BHILAI,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Chhattisgarh,75,,,44,,150,,60,,70,,70,,70,,,5791
IIT BHILAI,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Chhattisgarh,75,,,35,,150,,60,,70,,70,,70,,,10745
IIT BHILAI,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Chhattisgarh,75,,,25,,150,,60,,70,,70,,70,,,14404
IIT BHU,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Uttar Pradesh,80,,,82,,160,,75,,85,,85,,85,,,1079
IIT BHU,MATHEMATICS,MATHEMATICS,Uttar Pradesh,80,,,76,,160,,75,,85,,85,,85,,,2034
IIT BHU,ELECTRICAL ENGINEERING,ELECTRICAL ENGINEERING,Uttar Pradesh,80,,,68,,160,,75,,85,,85,,85,,,3534
IIT BHU,CHEMICAL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,80,,,56,,160,,75,,85,,85,,85,,,8999
IIT BHU,CIVIL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,80,,,49,,160,,75,,85,,85,,85,,,11332
IIT BHU,MECHANICAL ENGINEERING,MECHANICAL ENGINEERING,Uttar Pradesh,80,,,49,,160,,75,,85,,85,,85,,,6694
IIT BHU,ENGINEERING PHYSICS,BASIC SCIENCES,Uttar Pradesh,80,,,48,,160,,75,,85,,85,,85,,,9612
IIT BHU,MINING ENGINEERING,METALLURGICAL ENGINEERING,Odisha,80,,,46,,160,,75,,85,,85,,85,,,13556
IIT BHU,METALLURGICAL & MATERIALS ENGINEERING,METALLURGICAL ENGINEERING,Uttar Pradesh,80,,,45,,160,,75,,85,,85,,85,,,13072
IIT BHU,BIOTECHNOLOGY,BIOTECHNOLOGY,Uttar Pradesh,80,,,40,,160,,75,,85,,85,,85,,,14830
